STATION,NAME,DATE,TMAX,TMIN,
USC00030586,"BENTONVILLE 4 S, AR US",1/1/1997,56,42,39
USC00030586,"BENTONVILLE 4 S, AR US",1/2/1997,59,52,40
USC00030586,"BENTONVILLE 4 S, AR US",1/3/1997,70,56,48
USC00030586,"BENTONVILLE 4 S, AR US",1/4/1997,69,56,39
USC00030586,"BENTONVILLE 4 S, AR US",1/5/1997,65,31,45
USC00030586,"BENTONVILLE 4 S, AR US",1/6/1997,38,22,44
USC00030586,"BENTONVILLE 4 S, AR US",1/7/1997,31,17,31
USC00030586,"BENTONVILLE 4 S, AR US",1/8/1997,42,17,34
USC00030586,"BENTONVILLE 4 S, AR US",1/9/1997,32,23,20
USC00030586,"BENTONVILLE 4 S, AR US",1/10/1997,35,14,30
USC00030586,"BENTONVILLE 4 S, AR US",1/11/1997,15,-5,31
USC00030586,"BENTONVILLE 4 S, AR US",1/12/1997,14,-4,30
USC00030586,"BENTONVILLE 4 S, AR US",1/13/1997,15,-1,27
USC00030586,"BENTONVILLE 4 S, AR US",1/14/1997,19,4,43
USC00030586,"BENTONVILLE 4 S, AR US",1/15/1997,31,19,33
USC00030586,"BENTONVILLE 4 S, AR US",1/16/1997,31,13,42
USC00030586,"BENTONVILLE 4 S, AR US",1/17/1997,20,-3,48
USC00030586,"BENTONVILLE 4 S, AR US",1/18/1997,30,2,29
USC00030586,"BENTONVILLE 4 S, AR US",1/19/1997,39,4,23
USC00030586,"BENTONVILLE 4 S, AR US",1/20/1997,53,24,28
USC00030586,"BENTONVILLE 4 S, AR US",1/21/1997,64,26,26
USC00030586,"BENTONVILLE 4 S, AR US",1/22/1997,59,47,32
USC00030586,"BENTONVILLE 4 S, AR US",1/23/1997,60,35,31
USC00030586,"BENTONVILLE 4 S, AR US",1/24/1997,54,38,40
USC00030586,"BENTONVILLE 4 S, AR US",1/25/1997,47,17,44
USC00030586,"BENTONVILLE 4 S, AR US",1/26/1997,43,16,48
USC00030586,"BENTONVILLE 4 S, AR US",1/27/1997,57,43,45
USC00030586,"BENTONVILLE 4 S, AR US",1/28/1997,57,3,31
USC00030586,"BENTONVILLE 4 S, AR US",1/29/1997,33,2,23
USC00030586,"BENTONVILLE 4 S, AR US",1/30/1997,52,14,37
USC00030586,"BENTONVILLE 4 S, AR US",1/31/1997,55,19,45
USC00030586,"BENTONVILLE 4 S, AR US",2/1/1997,62,29,
USC00030586,"BENTONVILLE 4 S, AR US",2/2/1997,69,28,
USC00030586,"BENTONVILLE 4 S, AR US",2/3/1997,63,41,
USC00030586,"BENTONVILLE 4 S, AR US",2/4/1997,51,36,
USC00030586,"BENTONVILLE 4 S, AR US",2/5/1997,44,28,
USC00030586,"BENTONVILLE 4 S, AR US",2/6/1997,45,29,
USC00030586,"BENTONVILLE 4 S, AR US",2/7/1997,39,33,
USC00030586,"BENTONVILLE 4 S, AR US",2/8/1997,36,29,
USC00030586,"BENTONVILLE 4 S, AR US",2/9/1997,36,29,
USC00030586,"BENTONVILLE 4 S, AR US",2/10/1997,33,29,
USC00030586,"BENTONVILLE 4 S, AR US",2/11/1997,36,25,
USC00030586,"BENTONVILLE 4 S, AR US",2/12/1997,49,24,
USC00030586,"BENTONVILLE 4 S, AR US",2/13/1997,40,30,
USC00030586,"BENTONVILLE 4 S, AR US",2/14/1997,39,29,
USC00030586,"BENTONVILLE 4 S, AR US",2/15/1997,50,23,
USC00030586,"BENTONVILLE 4 S, AR US",2/16/1997,54,23,
USC00030586,"BENTONVILLE 4 S, AR US",2/17/1997,52,30,
USC00030586,"BENTONVILLE 4 S, AR US",2/18/1997,66,31,
USC00030586,"BENTONVILLE 4 S, AR US",2/19/1997,63,49,
USC00030586,"BENTONVILLE 4 S, AR US",2/20/1997,60,53,
USC00030586,"BENTONVILLE 4 S, AR US",2/21/1997,66,53,
USC00030586,"BENTONVILLE 4 S, AR US",2/22/1997,53,26,
USC00030586,"BENTONVILLE 4 S, AR US",2/23/1997,51,26,
USC00030586,"BENTONVILLE 4 S, AR US",2/24/1997,58,26,
USC00030586,"BENTONVILLE 4 S, AR US",2/25/1997,58,34,
USC00030586,"BENTONVILLE 4 S, AR US",2/26/1997,56,34,
USC00030586,"BENTONVILLE 4 S, AR US",2/27/1997,49,36,
USC00030586,"BENTONVILLE 4 S, AR US",2/28/1997,45,36,
USC00030586,"BENTONVILLE 4 S, AR US",3/1/1997,63,40,
USC00030586,"BENTONVILLE 4 S, AR US",3/2/1997,64,34,
USC00030586,"BENTONVILLE 4 S, AR US",3/3/1997,49,29,
USC00030586,"BENTONVILLE 4 S, AR US",3/4/1997,64,29,
USC00030586,"BENTONVILLE 4 S, AR US",3/5/1997,73,35,
USC00030586,"BENTONVILLE 4 S, AR US",3/6/1997,48,25,
USC00030586,"BENTONVILLE 4 S, AR US",3/7/1997,62,25,
USC00030586,"BENTONVILLE 4 S, AR US",3/8/1997,56,33,
USC00030586,"BENTONVILLE 4 S, AR US",3/9/1997,71,35,
USC00030586,"BENTONVILLE 4 S, AR US",3/10/1997,62,31,
USC00030586,"BENTONVILLE 4 S, AR US",3/11/1997,65,31,
USC00030586,"BENTONVILLE 4 S, AR US",3/12/1997,76,36,
USC00030586,"BENTONVILLE 4 S, AR US",3/13/1997,69,43,
USC00030586,"BENTONVILLE 4 S, AR US",3/14/1997,56,30,
USC00030586,"BENTONVILLE 4 S, AR US",3/15/1997,41,24,
USC00030586,"BENTONVILLE 4 S, AR US",3/16/1997,46,24,
USC00030586,"BENTONVILLE 4 S, AR US",3/17/1997,51,31,
USC00030586,"BENTONVILLE 4 S, AR US",3/18/1997,64,51,
USC00030586,"BENTONVILLE 4 S, AR US",3/19/1997,64,37,
USC00030586,"BENTONVILLE 4 S, AR US",3/20/1997,48,29,
USC00030586,"BENTONVILLE 4 S, AR US",3/21/1997,73,29,
USC00030586,"BENTONVILLE 4 S, AR US",3/22/1997,85,41,
USC00030586,"BENTONVILLE 4 S, AR US",3/23/1997,62,33,
USC00030586,"BENTONVILLE 4 S, AR US",3/24/1997,73,34,
USC00030586,"BENTONVILLE 4 S, AR US",3/25/1997,77,47,
USC00030586,"BENTONVILLE 4 S, AR US",3/26/1997,55,29,
USC00030586,"BENTONVILLE 4 S, AR US",3/27/1997,66,31,
USC00030586,"BENTONVILLE 4 S, AR US",3/28/1997,72,38,
USC00030586,"BENTONVILLE 4 S, AR US",3/29/1997,67,35,
USC00030586,"BENTONVILLE 4 S, AR US",3/30/1997,70,37,
USC00030586,"BENTONVILLE 4 S, AR US",3/31/1997,63,31,
USC00030586,"BENTONVILLE 4 S, AR US",4/1/1997,72,34,
USC00030586,"BENTONVILLE 4 S, AR US",4/2/1997,65,48,
USC00030586,"BENTONVILLE 4 S, AR US",4/3/1997,76,45,
USC00030586,"BENTONVILLE 4 S, AR US",4/4/1997,77,49,
USC00030586,"BENTONVILLE 4 S, AR US",4/5/1997,63,55,
USC00030586,"BENTONVILLE 4 S, AR US",4/6/1997,70,41,
USC00030586,"BENTONVILLE 4 S, AR US",4/7/1997,56,29,
USC00030586,"BENTONVILLE 4 S, AR US",4/8/1997,59,30,
USC00030586,"BENTONVILLE 4 S, AR US",4/9/1997,49,35,
USC00030586,"BENTONVILLE 4 S, AR US",4/10/1997,56,35,
USC00030586,"BENTONVILLE 4 S, AR US",4/11/1997,69,41,
USC00030586,"BENTONVILLE 4 S, AR US",4/12/1997,62,30,
USC00030586,"BENTONVILLE 4 S, AR US",4/13/1997,36,28,
USC00030586,"BENTONVILLE 4 S, AR US",4/14/1997,52,27,
USC00030586,"BENTONVILLE 4 S, AR US",4/15/1997,61,26,
USC00030586,"BENTONVILLE 4 S, AR US",4/16/1997,70,31,
USC00030586,"BENTONVILLE 4 S, AR US",4/17/1997,65,31,
USC00030586,"BENTONVILLE 4 S, AR US",4/18/1997,66,31,
USC00030586,"BENTONVILLE 4 S, AR US",4/19/1997,77,38,
USC00030586,"BENTONVILLE 4 S, AR US",4/20/1997,78,47,
USC00030586,"BENTONVILLE 4 S, AR US",4/21/1997,78,51,
USC00030586,"BENTONVILLE 4 S, AR US",4/22/1997,61,49,
USC00030586,"BENTONVILLE 4 S, AR US",4/23/1997,65,45,
USC00030586,"BENTONVILLE 4 S, AR US",4/24/1997,61,35,
USC00030586,"BENTONVILLE 4 S, AR US",4/25/1997,63,36,
USC00030586,"BENTONVILLE 4 S, AR US",4/26/1997,63,47,
USC00030586,"BENTONVILLE 4 S, AR US",4/27/1997,61,47,
USC00030586,"BENTONVILLE 4 S, AR US",4/28/1997,57,43,
USC00030586,"BENTONVILLE 4 S, AR US",4/29/1997,72,40,
USC00030586,"BENTONVILLE 4 S, AR US",4/30/1997,76,42,
USC00030586,"BENTONVILLE 4 S, AR US",5/1/1997,71,36,
USC00030586,"BENTONVILLE 4 S, AR US",5/2/1997,74,37,
USC00030586,"BENTONVILLE 4 S, AR US",5/3/1997,72,47,
USC00030586,"BENTONVILLE 4 S, AR US",5/4/1997,63,36,
USC00030586,"BENTONVILLE 4 S, AR US",5/5/1997,74,36,
USC00030586,"BENTONVILLE 4 S, AR US",5/6/1997,78,45,
USC00030586,"BENTONVILLE 4 S, AR US",5/7/1997,82,45,
USC00030586,"BENTONVILLE 4 S, AR US",5/8/1997,75,60,
USC00030586,"BENTONVILLE 4 S, AR US",5/9/1997,79,50,
USC00030586,"BENTONVILLE 4 S, AR US",5/10/1997,69,37,
USC00030586,"BENTONVILLE 4 S, AR US",5/11/1997,73,40,
USC00030586,"BENTONVILLE 4 S, AR US",5/12/1997,76,41,
USC00030586,"BENTONVILLE 4 S, AR US",5/13/1997,66,43,
USC00030586,"BENTONVILLE 4 S, AR US",5/14/1997,74,48,
USC00030586,"BENTONVILLE 4 S, AR US",5/15/1997,73,47,
USC00030586,"BENTONVILLE 4 S, AR US",5/16/1997,76,40,
USC00030586,"BENTONVILLE 4 S, AR US",5/17/1997,78,41,
USC00030586,"BENTONVILLE 4 S, AR US",5/18/1997,85,56,
USC00030586,"BENTONVILLE 4 S, AR US",5/19/1997,85,65,
USC00030586,"BENTONVILLE 4 S, AR US",5/20/1997,69,49,
USC00030586,"BENTONVILLE 4 S, AR US",5/21/1997,73,46,
USC00030586,"BENTONVILLE 4 S, AR US",5/22/1997,74,47,
USC00030586,"BENTONVILLE 4 S, AR US",5/23/1997,73,49,
USC00030586,"BENTONVILLE 4 S, AR US",5/24/1997,77,52,
USC00030586,"BENTONVILLE 4 S, AR US",5/25/1997,76,64,
USC00030586,"BENTONVILLE 4 S, AR US",5/26/1997,82,66,
USC00030586,"BENTONVILLE 4 S, AR US",5/27/1997,87,64,
USC00030586,"BENTONVILLE 4 S, AR US",5/28/1997,67,56,
USC00030586,"BENTONVILLE 4 S, AR US",5/29/1997,71,49,
USC00030586,"BENTONVILLE 4 S, AR US",5/30/1997,80,50,
USC00030586,"BENTONVILLE 4 S, AR US",5/31/1997,80,49,
USC00030586,"BENTONVILLE 4 S, AR US",6/1/1997,75,48,
USC00030586,"BENTONVILLE 4 S, AR US",6/2/1997,79,49,
USC00030586,"BENTONVILLE 4 S, AR US",6/3/1997,78,50,
USC00030586,"BENTONVILLE 4 S, AR US",6/4/1997,75,53,
USC00030586,"BENTONVILLE 4 S, AR US",6/5/1997,73,48,
USC00030586,"BENTONVILLE 4 S, AR US",6/6/1997,77,49,
USC00030586,"BENTONVILLE 4 S, AR US",6/7/1997,83,51,
USC00030586,"BENTONVILLE 4 S, AR US",6/8/1997,85,55,
USC00030586,"BENTONVILLE 4 S, AR US",6/9/1997,84,58,
USC00030586,"BENTONVILLE 4 S, AR US",6/10/1997,70,63,
USC00030586,"BENTONVILLE 4 S, AR US",6/11/1997,74,61,
USC00030586,"BENTONVILLE 4 S, AR US",6/12/1997,80,63,
USC00030586,"BENTONVILLE 4 S, AR US",6/13/1997,85,63,
USC00030586,"BENTONVILLE 4 S, AR US",6/14/1997,83,60,
USC00030586,"BENTONVILLE 4 S, AR US",6/15/1997,85,62,
USC00030586,"BENTONVILLE 4 S, AR US",6/16/1997,79,63,
USC00030586,"BENTONVILLE 4 S, AR US",6/17/1997,83,62,
USC00030586,"BENTONVILLE 4 S, AR US",6/18/1997,71,58,
USC00030586,"BENTONVILLE 4 S, AR US",6/19/1997,85,59,
USC00030586,"BENTONVILLE 4 S, AR US",6/20/1997,87,63,
USC00030586,"BENTONVILLE 4 S, AR US",6/21/1997,89,69,
USC00030586,"BENTONVILLE 4 S, AR US",6/22/1997,88,67,
USC00030586,"BENTONVILLE 4 S, AR US",6/23/1997,88,67,
USC00030586,"BENTONVILLE 4 S, AR US",6/24/1997,88,70,
USC00030586,"BENTONVILLE 4 S, AR US",6/25/1997,90,63,
USC00030586,"BENTONVILLE 4 S, AR US",6/26/1997,89,62,
USC00030586,"BENTONVILLE 4 S, AR US",6/27/1997,88,63,
USC00030586,"BENTONVILLE 4 S, AR US",6/28/1997,89,68,
USC00030586,"BENTONVILLE 4 S, AR US",6/29/1997,81,66,
USC00030586,"BENTONVILLE 4 S, AR US",6/30/1997,84,65,
USC00030586,"BENTONVILLE 4 S, AR US",7/1/1997,87,66,
USC00030586,"BENTONVILLE 4 S, AR US",7/2/1997,90,73,
USC00030586,"BENTONVILLE 4 S, AR US",7/3/1997,92,72,
USC00030586,"BENTONVILLE 4 S, AR US",7/4/1997,91,63,
USC00030586,"BENTONVILLE 4 S, AR US",7/5/1997,74,53,
USC00030586,"BENTONVILLE 4 S, AR US",7/6/1997,80,53,
USC00030586,"BENTONVILLE 4 S, AR US",7/7/1997,83,58,
USC00030586,"BENTONVILLE 4 S, AR US",7/8/1997,86,62,
USC00030586,"BENTONVILLE 4 S, AR US",7/9/1997,87,68,
USC00030586,"BENTONVILLE 4 S, AR US",7/10/1997,89,67,
USC00030586,"BENTONVILLE 4 S, AR US",7/11/1997,84,67,
USC00030586,"BENTONVILLE 4 S, AR US",7/12/1997,89,68,
USC00030586,"BENTONVILLE 4 S, AR US",7/13/1997,90,70,
USC00030586,"BENTONVILLE 4 S, AR US",7/14/1997,91,70,
USC00030586,"BENTONVILLE 4 S, AR US",7/15/1997,94,70,
USC00030586,"BENTONVILLE 4 S, AR US",7/16/1997,92,69,
USC00030586,"BENTONVILLE 4 S, AR US",7/17/1997,92,71,
USC00030586,"BENTONVILLE 4 S, AR US",7/18/1997,89,71,
USC00030586,"BENTONVILLE 4 S, AR US",7/19/1997,92,68,
USC00030586,"BENTONVILLE 4 S, AR US",7/20/1997,94,68,
USC00030586,"BENTONVILLE 4 S, AR US",7/21/1997,94,69,
USC00030586,"BENTONVILLE 4 S, AR US",7/22/1997,92,70,
USC00030586,"BENTONVILLE 4 S, AR US",7/23/1997,90,69,
USC00030586,"BENTONVILLE 4 S, AR US",7/24/1997,95,69,
USC00030586,"BENTONVILLE 4 S, AR US",7/25/1997,97,71,
USC00030586,"BENTONVILLE 4 S, AR US",7/26/1997,97,71,
USC00030586,"BENTONVILLE 4 S, AR US",7/27/1997,96,71,
USC00030586,"BENTONVILLE 4 S, AR US",7/28/1997,97,71,
USC00030586,"BENTONVILLE 4 S, AR US",7/29/1997,96,73,
USC00030586,"BENTONVILLE 4 S, AR US",7/30/1997,84,65,
USC00030586,"BENTONVILLE 4 S, AR US",7/31/1997,85,63,
USC00030586,"BENTONVILLE 4 S, AR US",8/1/1997,85,60,
USC00030586,"BENTONVILLE 4 S, AR US",8/2/1997,89,61,
USC00030586,"BENTONVILLE 4 S, AR US",8/3/1997,89,63,
USC00030586,"BENTONVILLE 4 S, AR US",8/4/1997,92,64,
USC00030586,"BENTONVILLE 4 S, AR US",8/5/1997,96,65,
USC00030586,"BENTONVILLE 4 S, AR US",8/6/1997,89,59,
USC00030586,"BENTONVILLE 4 S, AR US",8/7/1997,76,57,
USC00030586,"BENTONVILLE 4 S, AR US",8/8/1997,83,57,
USC00030586,"BENTONVILLE 4 S, AR US",8/9/1997,70,64,
USC00030586,"BENTONVILLE 4 S, AR US",8/10/1997,81,59,
USC00030586,"BENTONVILLE 4 S, AR US",8/11/1997,90,61,
USC00030586,"BENTONVILLE 4 S, AR US",8/12/1997,78,68,
